step,context,action,reward1,reward2,alpha
0,[-27348.598  11078.477],[0.30827644],1.5200511342779406,41.27876555994918,
1,[-49558.723    5599.1113],[0.28590557],0.18060405497578627,0.573591938971256,
2,[-13839.0625  20779.143 ],[0.17297372],0.35125580628645453,1.9635948213896224,
3,[-24772.508    7439.6157],[0.1604123],0.379112681660598,2.2556538121573126,
4,[-11186.938  12883.123],[0.11869373],0.44937360873858967,3.0118744999692253,
5,[-27955.293   7551.98 ],[0.1786053],0.44242451424003476,3.1369785166203745,
6,[-35988.74   49787.918],[0.49821627],0.3893262077207777,3.009913287207304,
7,[-31038.521  40809.277],[0.39039838],0.34364823722265875,2.2192816204694537,
8,[-50600.16   32692.975],[0.4785565],0.26884174660694604,1.4229260711826082,
9,[ 4331.111 50270.86 ],[0.23338717],0.34793177126718683,2.0424374932996563,
10,[-25841.188  36232.49 ],[0.3266852],0.36456473450482035,2.405249566669972,
11,[-28374.564   6827.44 ],[0.17701474],0.44468229651540286,3.1601405056627065,
12,[-46432.39  43040.03],[0.5362882],0.29993483473174715,1.8175205937106667,
13,[-45395.375 -13169.221],[0.16075125],0.2607217343661704,1.0681528809682423,
14,[-41887.332  21288.506],[0.33403468],0.2601612117137753,1.2290693040311333,
15,[-37921.613  11789.473],[0.25467122],0.1891132014388998,0.6143198149347697,
16,[-7401.1895 36666.918 ],[0.22305553],0.37413499218680657,2.34070853969141,
17,[-26965.062  36940.168],[0.3380228],0.3718679587099521,2.517968987824915,
18,[-33612.895   9816.129],[0.22067612],0.4031952537298732,2.709097156710565,
19,[-44666.766  15588.151],[0.31567228],0.34834055079169857,2.1785509170446673,
20,[14428.679 35952.84 ],[0.10668017],0.4096216810261261,2.4570697626820603,
21,[-36041.55   10704.132],[0.23820662],0.14385163045289434,0.3506712536184584,
22,[-18116.523  35640.37 ],[0.27723944],0.35670291494896345,2.224288527140476,
23,[-23149.002  34675.637],[0.30123484],0.3180525701428004,1.7984366113261003,
24,[-46010.516  25021.352],[0.38534224],0.23034942279827123,0.9951596939270024,
25,[-36390.36   11995.546],[0.24725133],0.1971721588903286,0.6633243920724669,
26,[-23866.629  19488.91 ],[0.2194351],0.31147191295032894,1.6175194094402974,
27,[-19998.312  19713.361],[0.19960305],0.38815629062847223,2.4649309996175606,
28,[-24854.006  40868.156],[0.34980223],0.3356063297974713,2.0694584551624655,
29,[-21345.332  50495.934],[0.3901637],0.3650521848733401,2.505057493111717,
30,[-12095.182  18910.473],[0.15396059],0.4349763017793873,2.9476119622116377,
31,[-14864.214    7409.5923],[0.11019199],0.25907666554967207,0.9883865327749396,
32,[-25579.607  27046.838],[0.2705398],0.39076634175433256,2.654026812643129,
33,[-20959.768  11780.464],[0.16299966],0.41202127290853446,2.6747461555285352,
34,[-7554.7197 34138.89  ],[0.21001433],0.41610722030846004,2.8619299452543814,
35,[-28399.162  43607.28 ],[0.39149502],0.34336605904548134,2.2181522299654612,
36,[-41357.62   10327.656],[0.26589197],0.16702101975747172,0.4813316867790862,
37,[-37000.8     8719.201],[0.23211591],0.36301161735808596,2.217932621053927,
38,[-43876.64   11205.548],[0.28554696],0.24568147604751978,1.0599606562389468,
39,[-1591.0266 15549.245 ],[0.08367309],0.5538079671048687,4.330539826730189,
40,[-48026.285  16379.298],[0.342427],0.32920284798011273,1.9790847095674082,
41,[-17361.967  24294.695],[0.21006358],0.3711888760840556,2.275477290896514,
42,[-16945.104     294.5901],[0.08456477],0.4658902677220829,3.0716802727633357,
43,[-34087.566    5136.4165],[0.1972234],0.33572875963260873,1.8411866723768544,
44,[-22970.943   7383.572],[0.15067771],0.42407287663536763,2.793082457520859,
45,[-38984.605   8820.301],[0.24401532],0.2025675731963086,0.6973724925019111,
46,[-19316.29   24643.377],[0.22308299],0.2801682235654397,1.3121394672379028,
47,[-42406.996  24314.184],[0.35654318],0.2730905333308116,1.3739799740732384,
48,[-10785.044  31089.113],[0.2109769],0.4169480918521339,2.8747384272085754,
49,[-10020.674  24502.656],[0.17238255],0.3788659233093778,2.285143644744861,
50,[-19809.898  42873.15 ],[0.33070552],0.32535257378168464,1.920754123747707,
51,[-29831.834  45481.03 ],[0.41529357],0.28559562712566033,1.5555519256876076,
52,[-11875.334  28052.86 ],[0.2007188],0.39500911637013214,2.5550604193105952,
53,[-9184.959 44986.316],[0.27936554],0.3959236586702247,2.746824783892781,
54,[-33271.285    1946.0574],[0.17741567],0.48745711344077514,3.8008422268311692,
55,[-19667.459     466.8241],[0.09971619],0.416802585787787,2.5190987725847664,
56,[-13268.995  40973.285],[0.28002104],0.36000036414030595,2.2702065890840033,
57,[-6954.7383 15237.296 ],[0.10978626],0.26574688769739685,1.0398916196327261,
