step,context,action,reward1,reward2,alpha
0,[12996.4795 33552.06  ],[0.36961424],2.199813227309865,89.90724664906242,
1,[-34569.125   -3430.0037],[0.15488835],0.3787659895950625,2.239253843365236,
2,[-31994.104  15109.848],[0.24005994],0.25789454785514115,1.1276501820504283,
3,[-36851.902  18701.238],[0.2878153],0.3254677097904176,1.86665575877136,
4,[-15063.184  24948.951],[0.20180283],0.2729302115613001,1.221228086216807,
5,[-17432.46   -7134.767],[0.0504547],0.40873783071789954,2.2069548230633975,
6,[-10467.504  35063.227],[0.23128197],0.30999005944973,1.6176862060071557,
7,[-43145.94  41496.75],[0.48960522],0.24272771699946896,1.1647014397620548,
8,[-27742.758  44391.43 ],[0.3929139],0.23757297665612231,1.0640237039593017,
9,[-27826.697  33825.73 ],[0.32449833],0.2893459596361587,1.5106869104966234,
10,[-46698.633  41012.324],[0.51797783],0.18217945937905114,0.6649211310630884,
11,[-35435.094  38080.027],[0.40242505],0.2821831634984605,1.506633701916804,
12,[-19107.271  30764.623],[0.25599137],0.3413216571360291,2.0011754849016175,
13,[-9385.574 30643.682],[0.20167239],0.2636209378389743,1.1402462870832912,
14,[-18503.012  44330.91 ],[0.33173755],0.3063021325588863,1.7021494326378352,
15,[-38410.055  36910.293],[0.41538873],0.27731387853785633,1.4660797245187307,
16,[-30165.377  26052.744],[0.29185593],0.28701243049192715,1.455818731780359,
17,[-31085.744  24638.43 ],[0.28884944],0.31744781888851814,1.7777977471834214,
18,[-10948.58   16779.367],[0.13774921],0.15440309440866182,0.3641690362277579,
19,[-16531.514  20774.082],[0.18693277],0.3784650645116734,2.314574612109272,
20,[-1628.4172 26653.709 ],[0.1405499],0.18864886505657943,0.5466705079241821,
21,[-40870.69   9561.58],[0.2585359],0.30050907668247445,1.5556703230712243,
22,[-16087.788  50597.977],[0.35603607],0.3308541328849362,2.01697782783444,
23,[34139.688 50651.562],[0.08098053],0.4605479408765528,2.980163777673006,
24,[ 4657.481 29173.902],[0.12086382],0.4652904330623899,3.2361575731970116,
25,[-46868.188  23290.186],[0.37934524],0.2530930264799,1.196381200414663,
26,[-45854.363  31422.021],[0.42996827],0.24653362760238076,1.168353351876709,
27,[-15356.984  33124.79 ],[0.2481173],0.32210975592607133,1.770723780708373,
28,[-33517.89   49685.406],[0.47759366],0.22186265183448248,0.9681038911794099,
29,[-30653.668  18160.838],[0.24953036],0.27378840347565486,1.2817633572377058,
30,[-30645.586   8143.433],[0.1952473],0.23943125208444943,0.935692237794575,
31,[-25752.85   26094.102],[0.26665887],0.25805378816576585,1.1537331855882824,
32,[10547.249 36164.152],[0.1265372],0.43744564643346195,2.884113703183729,
33,[-28719.36        102.198074],[0.142965],0.39538591243090987,2.4036875668835544,
34,[-35925.43   28937.822],[0.3444761],0.30899225630875543,1.7465516579936022,
35,[-30244.34  50935.87],[0.46115038],0.296573703299869,1.7164223131309562,
36,[-38959.383    5098.7207],[0.2237257],0.3212029489008884,1.724099276026096,
37,[-47316.805  16322.655],[0.3368151],0.29548043885701536,1.5895804802282214,
38,[-19333.914  48963.832],[0.36667848],0.31179125795362916,1.8036428741850337,
39,[  413.5276 37713.45  ],[0.18655834],0.4419784137785784,3.1508705991346044,
40,[-26227.76   48890.297],[0.4137071],0.31480191064175683,1.888989676419819,
41,[-7288.6113 22751.777 ],[0.14921542],0.3890424193067771,2.347538826420761,
42,[-16870.32   23385.297],[0.2032282],0.326701391528376,1.750992922277514,
43,[-42000.312  12746.063],[0.28316954],0.31311502339971553,1.7194321738876714,
44,[-15032.671  44920.504],[0.31431454],0.2052363276223019,0.7550669293647317,
45,[-38159.547 -25009.312],[0.06446623],0.42692113783870195,2.482396234120355,
46,[-44456.39  24277.56],[0.36972845],0.2761928322295707,1.4194786850619174,
47,[-9520.125 20829.705],[0.15082875],0.3811827709468835,2.257000849202534,
48,[-43436.457   -5545.8433],[0.19044325],0.17713595333201973,0.5091288509082126,
49,[-20062.277  34649.75 ],[0.28289375],0.33108802370299495,1.922222325585809,
50,[-49197.273  50544.734],[0.6268915],0.7333795833899552,11.259103961639337,
51,[-21996.256  34571.586],[0.29394716],0.275670602891018,1.3439130033468005,
52,[-16135.524  44128.562],[0.31612495],0.2497462624620859,1.118905129554759,
53,[-6754.1206  7043.0645],[0.06776242],0.36489366720356586,1.8265428180719119,
54,[-26317.414  23231.85 ],[0.25403467],0.3034692370471526,1.5816632417994938,
55,[ 7650.3535 49139.527 ],[0.20960435],0.16338484003299233,0.44085201099836047,
56,[-23550.514   5733.756],[0.14536907],0.38327448110336415,2.2661651822655537,
57,[-9726.682 15406.278],[0.12444703],0.3081384948602036,1.426530071810315,
58,[-24741.79   45246.523],[0.37811425],0.27668821614675654,1.4297682802706648,
59,[-31164.44  32132.81],[0.3345863],0.31448957289332247,1.8002478814157945,
60,[-30880.977   7107.721],[0.1909224],0.17636299626549667,0.5047358791133425,
61,[-22503.61  21558.99],[0.22317372],0.34049334077984955,1.9369697837510007,
62,[18621.742 31393.982],[0.06210465],0.5787000042426175,4.540729961514152,
63,[-6679.982  5970.046],[0.06180573],0.5037942885264983,3.439832987101972,
64,[14770.888 46443.668],[0.15751073],0.4095550675816919,2.6245061419829026,
65,[-30914.406  50730.973],[0.4650134],0.3050922091030603,1.8219857942875084,
66,[-32114.49   42774.086],[0.4121029],0.30658032359697646,1.7882257859302142,
67,[-50932.7    20916.178],[0.39087343],0.2592267378843805,1.2622751231040947,
68,[-41024.97   42622.234],[0.48110214],0.1978541669048017,0.7703845458882326,
69,[-34498.516   9502.733],[0.22293283],0.3128418552767807,1.635386636279877,
70,[-39872.434  25767.373],[0.34945434],0.30298655732008617,1.6868556024394785,
71,[-17561.938    6370.1123],[0.11808328],0.42908330591905036,2.743966277901821,
72,[-39020.35    -5281.6035],[0.16852693],0.30016812291722045,1.4287462317889217,
73,[-33554.848  34801.184],[0.36700392],0.3221145633915349,1.9250148656845762,
74,[-44295.953  40597.742],[0.491608],0.28161630757454187,1.5694023284851053,
75,[-42608.336  10441.597],[0.27359006],0.2271952497809043,0.8995310659774376,
76,[-3593.8374 38765.203 ],[0.21441771],0.2838066416382862,1.3365014790899497,
77,[-34835.51   19300.697],[0.27952355],0.33846745345204743,2.00572199171283,
78,[11173.667 31525.744],[0.10010231],0.44520653676902383,2.875915075793784,
79,[-44899.42 -34120.97],[0.05257141],0.5224412883005003,3.6220568896718786,
80,[-38691.21   39217.023],[0.4347252],0.2513695591027421,1.217857801966035,
81,[-21019.305  18629.889],[0.19976942],0.17300262753653178,0.49045053190537247,
82,[-24276.55   37464.094],[0.32519063],0.2353036036747286,1.001117906613235,
83,[-44951.062  46737.01 ],[0.5549572],0.4534323180737648,4.18536617365894,
84,[-22517.09   44881.855],[0.3609118],0.2838571150030467,1.4892110480064056,
85,[-31568.264  49227.97 ],[0.45803228],0.29508043820803836,1.6964534870644092,
86,[-10957.756  24681.375],[0.17834446],0.3361526677868772,1.8095390260830158,
87,[-26803.611  34961.82 ],[0.32522717],0.2796383571303843,1.413835489442654,
88,[-24113.662  47990.027],[0.3924551],0.3002651068070054,1.6985878123893638,
89,[10723.77  32002.154],[0.10461258],0.472458192656241,3.2604021918744888,
90,[ 5390.602 41421.043],[0.1803429],0.3520523559310368,1.9883872915710736,
91,[-8234.12  28824.553],[0.18575636],0.3459095613344553,1.9304116159483728,
92,[-40547.605 -12537.845],[0.138921],0.3663257557895841,2.054852429489643,
93,[-46379.92   40965.668],[0.5144593],0.19278772060486138,0.7442273681577709,
94,[-8105.491   2162.0903],[0.0503161],0.401798479416783,2.1314066732341517,
95,[-35111.9    26407.598],[0.32380238],0.24796154039753615,1.1108559789155232,
96,[-30500.18   14114.612],[0.22639571],0.2579635754579749,1.1153933176769837,
97,[-23904.5     -2788.0535],[0.10404667],0.4050570838995854,2.39552213592369,
98,[-25750.363  39755.613],[0.34862068],0.29827347086279976,1.6316038847698968,
99,[-48267.215  26598.674],[0.41221336],0.2475231898112068,1.1664358475324748,
100,[-37314.156  36718.082],[0.4061605],0.26731799316749666,1.355865139422285,
101,[21588.152 35316.637],[0.06720866],0.4711600876550474,3.040904572817822,
102,[-19530.191  12790.405],[0.16122843],0.2695229497260689,1.141873471047203,
103,[-33589.68     9032.6045],[0.21553011],0.2888612699173034,1.3834227564717634,
104,[-10532.337  35888.   ],[0.23625192],0.27664464535219674,1.2931943087676234,
105,[-25728.566 -11223.217],[0.0714712],0.3250010401913696,1.458851375092101,
106,[-20772.98  40873.85],[0.32437238],0.31141566120517594,1.7515376790151362,
107,[-35648.438  21466.057],[0.29692703],0.33811421706287836,2.0282940474066824,
108,[-42189.62   32645.596],[0.4117108],0.3076273838539424,1.8013391048121952,
109,[-11186.111  47004.855],[0.30343702],0.31355727861504673,1.7491941300494827,
110,[-23891.295  48307.24 ],[0.3931139],0.3000815082584813,1.6964161852567174,
111,[-29999.97   22060.477],[0.26783717],0.2750222977516517,1.311371818218912,
112,[-31976.652  -12199.3545],[0.09730492],0.4248699239822176,2.6071593589734925,
113,[-34053.758    6827.7256],[0.20657942],0.32685286908525496,1.7577956530700367,
114,[-47814.79   50737.434],[0.6168648],0.6988452124330353,10.189475091433408,
115,[-26235.275  33479.613],[0.31291562],0.15268537372439323,0.4179755675450873,
116,[-9700.096 21404.744],[0.15461056],0.40500803808562774,2.5604836320869526,
117,[-37895.7    -8157.743],[0.14773941],0.36736223907326115,2.089115606279034,
118,[-7265.768 24283.838],[0.15682246],0.4213086019495111,2.7748351233552224,
119,[-19444.117  40225.836],[0.3124923],0.26232067996270697,1.2336148348667682,
120,[-41467.668  19834.523],[0.32252407],0.21862820506686595,0.8627787841460051,
121,[ 8202.4  23175.18],[0.07352746],0.39500073609674086,2.1637791568512528,
122,[-7322.22  19416.463],[0.13236393],0.39824925687864116,2.4086631224797346,
123,[-29783.31 -14260.82],[0.07634455],0.32928440987884655,1.51229132836496,
124,[-24078.379  29722.004],[0.27758515],0.3387707945052984,2.003603240603816,
125,[-26035.635  17502.332],[0.22044522],0.3035961821134187,1.5363180165589017,
126,[-46166.7    32925.953],[0.44399992],0.1833941481159746,0.6504916909724732,
127,[-10605.422  12831.837],[0.11574435],0.3824611616996698,2.174330579964743,
128,[-13914.435  14036.258],[0.13887262],0.1319192002312237,0.26630804045193235,
129,[-26680.422   9815.96 ],[0.18287884],0.31954967672046763,1.6411526882927494,
130,[-3937.0996 10756.895 ],[0.07215173],0.3931284151346821,2.1396864444149615,
131,[-30072.867   7688.327],[0.18969575],0.21679833925934971,0.7623010476153423,
132,[-38767.92   6262.2 ],[0.22887665],0.2555778765296182,1.0971730674844735,
133,[-12903.712  40267.734],[0.27430832],0.21166596668207235,0.7802073520609141,
134,[11777.193 32995.492],[0.10435376],0.46301932836743537,3.1303288297279575,
135,[-48526.83   33005.508],[0.4635356],0.14282823545892917,0.39917591081979586,
136,[-47724.95   26059.674],[0.40452138],0.2291221597678055,0.9974197318844281,
137,[-34215.797  44208.285],[0.4386915],0.24368748706680995,1.1464721307032022,
138,[-9770.099 32627.363],[0.21452405],0.21353615723861702,0.7555586949759071,
139,[-17349.479  24947.223],[0.21398172],0.21457652404818095,0.7639794899274985,
140,[-35422.93  34863.53],[0.38003367],0.29738659024330993,1.6544500243762899,
141,[-30648.578  28656.35 ],[0.31045032],0.1232925790799239,0.27152878830849103,
142,[-26568.234  15579.739],[0.21303144],0.25761760659128613,1.101420581268733,
143,[-39265.137  31464.443],[0.38295722],0.3124459764000212,1.8278695768753601,
144,[-22234.545  39838.02 ],[0.3268875],0.33274341158570986,2.000545417473026,
145,[-50361.793 -10769.308],[0.19984245],0.36969939455901935,2.2366338351229835,
146,[-34979.52   30076.453],[0.34580612],0.2846886659718013,1.4843919872138733,
147,[ -777.1938 15554.58  ],[0.08018097],0.42808142955796447,2.5757534771095174,
148,[-28618.883   6510.436],[0.17592515],0.14851609571384627,0.3517861691438398,
149,[-26071.564  49450.03 ],[0.4166182],0.3177553195471692,1.9267236493793274,
150,[-14722.565  44345.11 ],[0.30883366],0.2722614842431439,1.3257517642111873,
151,[-44033.77  47852.47],[0.55668765],0.46486054797473153,4.403924332962136,
152,[-15145.386  17133.49 ],[0.16078037],0.3723519806839951,2.1775983409945954,
153,[ 9626.239 29493.111],[0.09774394],0.42722103804435,2.638524198235237,
154,[-41500.523    7776.6074],[0.25201],0.31208990935190073,1.6694516305212788,
155,[-1006.52985 40105.086  ],[0.20746648],0.25712955469501086,1.0896262285084626,
156,[-38466.22  16827.18],[0.2864476],0.2857172274756887,1.4350647876560725,
157,[-49631.152 -26652.844],[0.11359374],0.2984120136316153,1.319753873796845,
158,[-36826.05   32997.742],[0.37702957],0.27080727122883375,1.3685149414804019,
159,[-37230.203  43651.137],[0.45820084],0.13877713518670004,0.37536215214243746,
160,[-15633.363  -5245.135],[0.05073998],0.4932073166227685,3.213766415240286,
161,[-16632.326  26184.607],[0.21667156],0.23432381098262786,0.9133202279904613,
162,[-9532.412  9593.348],[0.09420624],0.36257010038262344,1.8894766113360781,
163,[-49922.312  24311.465],[0.4076827],0.2438421151937574,1.1287093056623936,
164,[-34985.82   11929.775],[0.23899013],0.2730440382386681,1.262028884725679,
165,[-35264.152  20197.078],[0.2872146],0.3391881435203914,2.0231025322477976,
166,[-27437.906  46172.97 ],[0.40312192],0.27794838561868146,1.4626728158092996,
167,[-33590.57   13038.616],[0.23749572],0.2170739691691371,0.7971716597959247,
168,[-9880.757 36740.36 ],[0.23739842],0.255669341244231,1.1065796067304767,
169,[-37829.29   35420.824],[0.40069342],0.24575995815031426,1.14235331023998,
170,[-43136.258 -30151.521],[0.06351621],0.4823805048867445,3.16291017400648,
171,[-44376.617  23791.398],[0.3659664],0.2815281735697302,1.4686284021319447,
172,[-30253.086  50667.492],[0.45902237],0.2929492134996568,1.674008842626906,
173,[-43075.418 -22994.908],[0.09881549],0.4250782132926718,2.616617309918093,
174,[-49162.516 -31991.113],[0.08437259],0.4162898551148938,2.451472832805039,
175,[-46825.992  26676.484],[0.4024667],0.24854946327914518,1.168954140317134,
176,[-49691.992  40431.723],[0.5401767],0.3872524803060576,3.0358506308312725,
177,[-25279.389   11741.3955],[0.18560481],0.32999217335752984,1.7576422704747472,
178,[-5855.911 18846.527],[0.12194715],0.4324703330140848,2.801202921252811,
179,[-6841.234 14107.455],[0.10309367],0.44086140538847524,2.8354505963312167,
180,[-11551.795    -811.1381],[0.05230879],0.5464485190338785,3.959943982638919,
181,[-39339.918  10969.671],[0.2578913],0.28420084227472764,1.388492719313649,
182,[-35859.96    -7070.4336],[0.14296484],0.339695894141409,1.7750125065594988,
183,[ -527.21075 46643.484  ],[0.24070624],0.28057609567923064,1.3366592184210153,
184,[-48601.215  18376.318],[0.3580945],0.30035848620241157,1.6648629697812576,
185,[-38962.363  29049.623],[0.36463842],0.3376948708372428,2.111763987943934,
186,[-38416.66  48421.17],[0.50910205],0.3024131237080822,1.8260165649426081,
187,[-11410.24   34069.035],[0.23102129],0.30269874004432235,1.541581528191719,
188,[-29989.988   9078.523],[0.19671373],0.2225501652896044,0.8084442211269307,
189,[-32239.252  33181.53 ],[0.34786835],0.33703197927851686,2.0812412070449273,
190,[-28038.596  28264.2  ],[0.29223785],0.3182743515365331,1.791509446485548,
191,[-28057.904   -1565.8481],[0.13158786],0.31674494742963416,1.5208767100475753,
192,[-19393.04    -6572.7764],[0.06300937],0.2835742450206526,1.0918696789238216,
193,[-4033.4407 10924.448 ],[0.07353692],0.3384673186809631,1.5893388796418046,
194,[-42542.285  30967.348],[0.40219313],0.31668018012531507,1.8974762790987592,
