step,context,action,reward1,reward2,alpha
0,[ 3782.8337 33807.07  ],[2.7796876],2.387536928836446,105.41806431453402,
1,[-32746.535  30091.48 ],[2.527564],2.2421748718747474,104.76970099983517,
2,[-45809.52  -18235.266],[2.312177],2.615878710407168,152.3382709679833,
3,[-2275.8958 22167.32  ],[2.2567058],2.6709259481230743,160.92568925090512,
4,[-8355.375  9093.597],[2.2179506],2.8524835872905334,185.13155481373204,
5,[-50560.438  38568.324],[2.8814502],1.9900831074512464,68.28539405330113,
6,[-11672.679  48430.277],[2.269265],2.2729927967662595,116.24796556551873,
7,[-40170.03  27805.5 ],[2.5959923],2.1970714761814785,97.92859733669339,
8,[29761.281 43753.938],[1.7165315],2.3583644826385597,134.61121036401778,
9,[-19938.357  15284.044],[2.4499147],2.490029408858227,132.69050643684994,
10,[15416.143 30437.   ],[2.4777498],2.9512191470625835,184.72498115176776,
11,[-37098.27    7859.476],[2.9634373],2.057281736854066,67.75614727925628,
12,[-45590.816  -5170.066],[2.6259992],2.3715084037460348,112.63693345973651,
13,[-31252.654  25216.176],[2.2396913],2.291276212975952,118.89866357034524,
14,[-26487.242  16309.023],[2.507615],2.3918687220417016,120.08974009072904,
15,[-14114.38   22010.838],[2.3543522],2.486410714273075,136.11414401919552,
16,[-39008.01     6894.4453],[2.4018695],2.3804786990128615,123.10356947192213,
17,[-40428.04  13959.5 ],[1.9751688],2.203085931771594,114.98781969474423,
18,[-8039.3857 36861.617 ],[1.0954262],1.7061265577275895,68.31256520916983,
19,[-12694.6045  31514.123 ],[0.74975115],1.8988157066801996,78.55233705332276,
20,[-19710.094  35711.996],[0.9517153],1.6485137889450934,62.190584294511865,
21,[-29920.115 -12585.921],[0.6298076],2.603984100156911,142.11738688364576,
22,[-43121.613   5312.229],[0.8256745],1.8201474437705945,73.693374722228,
23,[ 9118.687 42986.895],[1.13688],1.8973123278708173,84.97167592154868,
24,[-8491.17  43390.734],[2.1190934],2.2896861832552897,121.5672688905028,
25,[-37183.047  18740.736],[1.8691429],2.1212432813888893,107.79744831717704,
26,[-19929.06   14849.748],[2.2782125],2.4983022257558765,140.10560504888412,
27,[-30255.504  37693.95 ],[2.2075303],2.221422579754468,112.5094790937036,
28,[-27249.27   20494.451],[2.301171],2.3640064270617756,124.73586045427709,
29,[-5977.2617 18930.547 ],[1.5822353],1.8186114402275275,80.28698793674859,
30,[-11311.246  18779.516],[2.5071113],2.551133875099318,136.60856450157647,
31,[-9558.475 16628.756],[3.1415927],1.7783697119275967,31.636030067555776,
32,[-14259.378    8067.6626],[3.1415927],1.778252245088655,31.636194228485305,
33,[-46239.664  31017.568],[3.1415927],1.7782637952285305,31.636184314826966,
34,[-3622.1997 38804.785 ],[3.1415927],1.7783168709486386,31.63601055294053,
35,[-10776.655  43996.3  ],[3.1415927],1.778411896038565,31.636052069970074,
36,[-37088.984  25901.55 ],[3.1415927],1.7783465137234007,31.63616322645717,
37,[13994.256 27948.307],[2.7938159],2.7454857647527042,138.2024459308557,
38,[-35296.918  -5278.961],[2.6605747],2.480440737861099,121.2878643240549,
39,[-20938.66   47669.375],[2.70621],2.14979287349306,89.08036137452078,
40,[-47950.69   33260.414],[2.7681868],2.0749094030791633,80.16198746475564,
41,[-37346.297  -2031.785],[2.148445],2.456535943602823,139.19778389742652,
42,[-13637.804  48416.676],[1.8574624],2.085329472068381,104.29790938605679,
43,[-15528.704  16764.568],[1.7637218],2.1627054947689377,112.94201957956238,
44,[-22424.906  13335.541],[1.2397459],1.6561727957234738,65.519518684473,
45,[-23136.775  22837.629],[1.7507547],2.054292125787559,101.96828929119395,
46,[-45209.668 -16525.54 ],[2.1309683],2.5455211722431925,149.9648705545008,
47,[-40078.48    15364.9795],[2.62416],2.2539504997198985,101.81757347548316,
48,[-46214.24  20467.74],[2.63525],2.1892458735803686,95.57805227913897,
49,[-16052.93  11843.26],[1.9708871],2.4532555611425995,142.64774979209676,
50,[-46486.363   4138.566],[1.618665],1.858241133151053,83.81074640856649,
51,[-30944.57  33728.62],[1.4583234],1.5956137680540559,61.70802240897414,
52,[-21404.691  42762.066],[0.43669426],1.2147429603105262,28.45516466608297,
53,[-31158.5       759.4908],[0.08549173],1.4617800669287697,30.283144539479235,
54,[-31033.598  13504.172],[1.049149],1.7682563262487934,72.83754332349582,
55,[-22252.594   -1554.2343],[1.3671112],1.7561658639178919,74.42154964275834,
56,[-46551.875   8923.558],[1.8194646],2.0815702769533333,104.21640713761197,
57,[-49222.363  18498.104],[1.6263692],1.8482395780883392,82.89946141067786,
58,[-18020.24   31996.389],[1.9192191],2.191845095628453,114.54543665569061,
59,[-49936.066  45303.504],[2.0413477],2.0781172663734595,101.40204941523321,
60,[26965.525 43996.492],[2.0671933],2.7847529198323353,181.36833537182022,
61,[19294.303 41369.777],[1.556665],1.7171500765257923,71.5888042902444,
62,[-27912.957  34430.44 ],[1.7836957],2.0230523744095716,98.71116245459751,
63,[-42808.664  13805.46 ],[1.0397103],1.5469297785040026,55.657294974504296,
64,[-20378.729   8817.087],[1.2180501],1.8853686974293176,84.72586937813468,
65,[-11174.255   7547.628],[1.0149578],2.4959834821569924,144.27951044050658,
66,[-24387.64   30664.215],[1.3854377],1.3470105093203042,43.82613353962397,
67,[-17497.203  11128.161],[1.2269611],1.8841506251806637,84.68584353693446,
68,[-36440.02   37006.266],[0.36323282],0.9400133662358388,16.359404315753455,
69,[-13406.518  41268.652],[0.4103956],1.3813791971087088,36.2937014316186,
70,[-27680.127   4879.766],[0.8131962],2.1471952644412204,102.22089566697458,
71,[-32050.951  17611.605],[0.1808725],1.2860324909779373,26.55662251444403,
72,[-41784.723   8626.952],[0.21628849],1.1107377941966952,20.505197717866398,
73,[-20127.41     820.756],[0.4644288],2.3200988061564862,105.26644062583264,
74,[-34648.58   -9243.379],[0.52137065],2.228443325252908,99.6970386385915,
75,[-29692.139  36353.38 ],[0.0283608],1.7379951873691029,37.470868927564,
76,[11216.557 33660.91 ],[0.],1.7780763415921446,31.622983050969925,
77,[ 3593.2844 46185.71  ],[0.],1.7783814349549438,31.622707668592582,
78,[-46566.766  36749.363],[0.64732087],1.1535545327078562,28.06690778270181,
79,[-48315.906  31904.742],[0.8750976],1.2579555272495857,35.613214067301286,
80,[13327.905 46437.734],[0.41407207],1.8872812415255276,67.8606100258579,
81,[-44441.914  26070.393],[0.47164556],1.1423428408610878,25.606250827161688,
82,[-33945.39  23373.64],[0.5601104],1.56567214120507,50.025936410196415,
83,[-3245.6475 43059.47  ],[0.733036],1.8570221383466698,74.76704167424835,
84,[-5845.854 13593.735],[0.01779065],1.6888915866452787,33.952851037710815,
85,[-9666.332 48459.297],[0.],1.7783871844195205,31.622663919102912,
86,[-33283.293   6614.023],[0.],1.7782751874529485,31.622747719457696,
87,[-18293.072    7545.3906],[0.],1.7782686795112936,31.622704641244933,
88,[-45582.62   14327.169],[0.],1.778306868921428,31.622687767909813,
89,[-19863.877  32858.676],[0.],1.7782481643445684,31.62276024924391,
90,[-50482.61    8092.446],[0.11812229],1.560220397563692,36.27824478914297,
91,[-16171.089  35486.957],[0.44146037],1.5132675790295471,44.27909109813778,
92,[-39034.715  10209.566],[0.6776829],1.7878805208459208,68.11854910223869,
93,[-44713.1     5933.802],[0.26059875],0.38350459864989606,2.5346382679455037,
94,[-47526.516   7207.267],[0.01066271],1.760285933644469,35.55725400887428,
95,[-23798.855  29472.006],[0.],1.7782513907891317,31.62274071203875,
96,[ 8378.708 47816.938],[0.],1.7783372511803355,31.622811175610686,
97,[-17593.945  22484.771],[0.5533767],1.8893603705222368,72.6527455076053,
98,[-25706.549  19063.281],[0.22877996],0.4917072666571708,4.062627571459011,
99,[-28142.229  48334.62 ],[0.6260119],1.2768321126249558,34.119487575290265,
100,[-47370.57      -403.14178],[0.6228265],1.8029295029534884,67.95532236289748,
101,[-12085.588  24247.592],[0.6510873],2.031934030737057,87.19001762955888,
102,[-49491.09   30183.303],[0.4391245],0.6258149734508759,7.560945070761575,
103,[-46232.67   23754.332],[0.],1.7783181628996556,31.622551927756675,
104,[-16491.953  28301.72 ],[0.],1.7781808783495998,31.62263010760225,
105,[-29178.053  39527.805],[0.],1.7782571298909318,31.62274080903316,
106,[-9896.284 21081.977],[0.],1.7783651884166778,31.622890213430324,
107,[-33646.586  37689.887],[0.],1.7781678446841298,31.622854133803642,
108,[-33611.773  10352.218],[0.],1.7781025463187226,31.622811798648172,
109,[-6483.7783 37681.098 ],[0.],1.7782853124280564,31.622758445934085,
110,[-6212.1245 20812.94  ],[0.],1.7781347485366037,31.62285634580302,
111,[-14718.397  10404.328],[0.2198065],1.6420239754180093,44.935351132930776,
